maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc
straight,clean_unmodified_dense_straight_learned_policy,0,True,False,231.45917024736508,86,17.2,3.985328588921508,0.01818181818181818,0.9636363636363636,0.6898594505875965,1.561409254983051
straight,clean_unmodified_dense_straight_learned_policy,1,False,True,41.98909545537447,53,10.6,3.465109602552431,0.0,1.0,0.5368253068440664,1.6944382992688378
straight,clean_unmodified_dense_straight_learned_policy,2,True,False,221.58213471867361,80,16.0,4.323626391193086,0.0,0.98,0.701085544912264,2.7131891369245698
straight,clean_unmodified_dense_straight_learned_policy,3,True,False,227.4039374110195,83,16.6,4.316088385130193,0.0,1.0,0.550065207467396,2.7099669807584283
straight,clean_unmodified_dense_straight_learned_policy,4,True,False,216.94218927228914,80,16.0,4.302832183009359,0.0196078431372549,0.9803921568627451,0.6353725909293447,2.6630376121000423
straight,clean_unmodified_dense_straight_learned_policy,5,True,False,218.2722579476611,80,16.0,4.190797564182423,0.0,1.0,1.0414766420696775,2.130175913603976
straight,clean_unmodified_dense_straight_learned_policy,6,True,False,216.53219773702898,80,16.0,4.109753322166358,0.0,1.0,0.6462333274655523,2.5309313420961908
straight,clean_unmodified_dense_straight_learned_policy,7,True,False,244.9783712004247,92,18.4,3.795308804360844,0.0,1.0,0.6269434098111328,1.6111809946780855
straight,clean_unmodified_dense_straight_learned_policy,8,True,False,226.82655595527086,81,16.2,4.409326900455456,0.0,1.0,0.6446487636010202,2.9042414628297877
straight,clean_unmodified_dense_straight_learned_policy,9,True,False,237.08940142887326,85,17.0,4.417935838704195,0.0,1.0,0.6746137077531842,3.0383000857205853
